01: BasicTest1.mySum: in00: i0: [-inf, +inf]
01: BasicTest1.mySum: in00: i1: [-inf, +inf]
02: BasicTest1.mySum: in00: i0: [-inf, +inf]
02: BasicTest1.mySum: in00: i1: [-inf, +inf]
03: BasicTest1.mySum: in00: i0: [-inf, +inf]
03: BasicTest1.mySum: in00: i1: [-inf, +inf]
04: BasicTest1.mySum: in00: i0: [-inf, +inf]
04: BasicTest1.mySum: in00: i1: [-inf, +inf]
04: BasicTest1.mySum: in01: i0: [0, 0]
04: BasicTest1.mySum: in01: i1: [-inf, +inf]
05: BasicTest1.mySum: in00: i0: [-inf, +inf]
05: BasicTest1.mySum: in00: i1: [-inf, +inf]
05: BasicTest1.mySum: in01: i0: [0, 0]
05: BasicTest1.mySum: in01: i1: [-inf, +inf]
05: BasicTest1.mySum: in02: i0: [0, 0]
05: BasicTest1.mySum: in02: i1: [0, 0]
06: BasicTest1.mySum: in00: i0: [-inf, +inf]
06: BasicTest1.mySum: in00: i1: [-inf, +inf]
06: BasicTest1.mySum: in01: i0: [0, 0]
06: BasicTest1.mySum: in01: i1: [-inf, +inf]
06: BasicTest1.mySum: in02: i0: [0, 0]
06: BasicTest1.mySum: in02: i1: [0, 0]
07: BasicTest1.mySum: in00: i0: [-inf, +inf]
07: BasicTest1.mySum: in00: i1: [-inf, +inf]
07: BasicTest1.mySum: in01: i0: [0, 0]
07: BasicTest1.mySum: in01: i1: [-inf, +inf]
07: BasicTest1.mySum: in02: i0: [0, 0]
07: BasicTest1.mySum: in02: i1: [0, 0]
07: BasicTest1.mySum: in03: i0: [0, 0]
07: BasicTest1.mySum: in03: i1: [0, 0]
08: BasicTest1.mySum: in00: i0: [-inf, +inf]
08: BasicTest1.mySum: in00: i1: [-inf, +inf]
08: BasicTest1.mySum: in01: i0: [0, 0]
08: BasicTest1.mySum: in01: i1: [-inf, +inf]
08: BasicTest1.mySum: in02: i0: [0, 0]
08: BasicTest1.mySum: in02: i1: [0, 0]
08: BasicTest1.mySum: in03: i0: [0, 0]
08: BasicTest1.mySum: in03: i1: [0, 0]
08: BasicTest1.mySum: in04: i0: [0, 0]
08: BasicTest1.mySum: in04: i1: [0, 0]
09: BasicTest1.mySum: in00: i0: [-inf, +inf]
09: BasicTest1.mySum: in00: i1: [-inf, +inf]
09: BasicTest1.mySum: in01: i0: [0, 0]
09: BasicTest1.mySum: in01: i1: [-inf, +inf]
09: BasicTest1.mySum: in02: i0: [0, 0]
09: BasicTest1.mySum: in02: i1: [0, 0]
09: BasicTest1.mySum: in03: i0: [0, 0]
09: BasicTest1.mySum: in03: i1: [0, 0]
09: BasicTest1.mySum: in04: i0: [0, 0]
09: BasicTest1.mySum: in04: i1: [0, 0]
09: BasicTest1.mySum: in05: i0: [0, 0]
09: BasicTest1.mySum: in05: i1: [1, 1]
10: BasicTest1.mySum: in00: i0: [-inf, +inf]
10: BasicTest1.mySum: in00: i1: [-inf, +inf]
10: BasicTest1.mySum: in01: i0: [0, 0]
