x,y
101,410
101,456
101,457
104,311
104,314
104,405
104,456
106,407
106,456
107,311
107,404
107,405
107,456
109,314
109,402
109,456
111,311
111,400
111,456
111,457
112,313
114,399
114,456
114,457
117,311
117,314
117,397
117,456
119,397
121,311
121,393
121,457
122,314
124,456
126,311
126,318
126,390
126,392
126,457
127,390
129,457
131,313
131,318
133,387
133,457
136,323
136,383
136,457
138,316
138,382
138,457
139,324
139,378
139,459
141,319
141,329
141,380
143,321
143,375
143,378
143,457
144,333
144,370
146,324
146,335
146,372
146,457
146,459
148,361
148,367
148,368
148,459
149,329
149,338
149,358
149,457
151,343
151,346
151,351
151,356
151,361
151,461
153,335
153,336
153,350
153,355
153,457
154,345
154,348
154,459
156,457
286,188
287,176
287,178
287,183
287,185
287,186
289,176
289,178
291,168
291,171
291,173
292,164
292,166
294,163
296,159
297,154
297,156
299,151
299,153
301,144
301,146
301,148
303,138
303,141
303,143
304,136
306,131
306,133
306,134
308,124
308,126
308,129
309,124
311,111
311,116
311,119
313,109
314,104
314,107
316,104
316,134
318,101
318,133
318,99
319,133
319,378
319,382
319,95
319,99
321,134
321,382
321,383
321,388
321,390
321,397
321,405
321,82
321,90
321,92
323,361
323,372
323,375
323,378
323,392
323,393
323,85
324,136
324,351
324,356
324,365
324,367
324,370
324,388
324,397
324,399
324,400
324,404
324,409
324,410
324,420
324,82
324,84
326,134
326,350
326,361
326,373
326,382
326,412
326,80
328,340
328,348
328,350
328,356
328,363
328,420
328,424
328,69
328,75
328,77
329,134
329,341
329,343
329,345
329,348
329,420
329,425
329,69
329,72
331,134
331,340
331,422
331,429
331,431
331,434
331,62
331,63
331,67
331,69
333,136
333,335
333,437
333,439
333,58
333,62
335,134
335,329
335,331
335,441
335,446
335,53
335,57
336,326
336,52
338,136
338,43
338,444
338,446
338,48
340,323
340,40
340,45
340,451
341,133
341,134
341,319
341,40
341,449
343,134
343,319
343,37
343,452
343,454
345,318
345,37
346,314
346,456
348,136
348,35
348,456
350,456
351,136
351,316
351,35
351,461
353,136
353,35
353,43
355,313
355,38
355,452
355,459
355,47
356,136
356,309
356,311
356,40
356,43
356,45
356,462
356,53
358,48
360,134
360,138
360,52
360,53
360,58
361,464
361,466
361,53
361,58
361,63
363,134
363,311
363,60
363,62
363,70
365,311
365,464
365,63
365,67
367,134
367,136
367,462
367,69
367,70
367,72
368,75
370,462
370,74
370,79
370,80
372,133
372,313
372,464
372,80
372,85
373,134
373,136
373,464
373,85
373,87
373,89
373,90
375,313
375,462
375,90
375,94
375,97
377,101
377,134
377,461
377,97
377,99
378,102
378,133
378,136
380,106
380,313
380,314
380,462
382,106
382,107
382,109
382,462
383,112
383,114
383,116
383,117
383,121
383,126
383,457
383,459
385,116
385,127
385,131
385,316
385,318
387,134
387,457
387,459
388,122
388,138
390,126
390,319
392,131
392,141
392,143
392,451
393,136
393,139
393,146
393,324
393,326
393,447
395,144
395,446
397,148
397,329
399,154
399,158
399,336
399,439
399,441
400,158
400,159
400,434
402,159
402,164
402,166
402,335
402,345
402,429
404,170
404,419
404,424
404,432
405,170
405,175
405,176
405,338
405,346
405,351
405,358
405,414
405,425
407,180
407,361
407,368
407,375
407,380
407,390
407,410
407,417
409,183
409,375
409,380
409,385
409,392
409,397
409,404
409,409
410,404
572,119
572,122
574,104
574,107
574,111
574,131
575,101
575,114
575,117
575,121
575,134
575,94
575,95
577,126
577,129
577,141
577,82
577,87
577,90
579,133
579,136
579,74
579,79
579,84
580,138
580,75
582,141
582,144
582,146
582,148
582,67
582,69
582,72
584,148
584,149
584,154
585,153
585,60
585,63
587,156
587,158
587,161
587,58
589,163
589,345
590,166
590,340
590,53
592,161
592,345
592,53
594,50
595,166
595,170
595,348
595,50
597,168
597,345
597,48
599,173
601,343
601,346
602,171
602,43
604,176
604,345
606,338
606,42
607,176
607,180
607,336
607,38
609,336
611,178
611,336
611,343
611,38
612,37
614,181
614,336
616,180
616,37
617,185
617,333
617,35
619,329
619,333
619,35
621,181
621,186
621,324
621,328
621,35
622,33
622,462
624,185
624,188
624,378
624,390
624,456
62,456
62,457
626,31
626,314
626,323
626,361
626,370
626,399
626,446
626,457
627,31
627,355
627,407
627,409
627,419
627,431
627,444
627,446
627,454
627,457
629,185
629,188
629,308
629,31
629,326
629,335
629,343
629,385
629,392
629,393
629,397
629,402
629,414
629,417
629,422
629,425
629,431
629,434
629,442
629,447
629,456
629,461
631,311
631,313
631,350
631,358
631,361
631,368
631,373
631,375
631,382
631,402
631,422
633,186
633,31
633,336
633,341
633,343
633,355
634,188
634,333
63,447
636,30
636,314
636,318
636,326
639,186
639,188
639,30
643,188
644,186
644,30
646,28
649,185
649,186
649,28
649,31
651,186
653,31
65,355
65,358
654,185
654,30
65,442
65,452
65,456
658,185
658,186
658,35
661,180
661,181
661,30
663,181
663,35
666,180
666,181
666,33
668,37
670,180
670,37
671,178
671,40
673,176
673,178
673,37
67,350
67,436
67,451
67,456
67,459
675,175
675,176
678,42
680,173
680,175
680,42
680,47
681,170
681,171
681,48
683,166
683,168
683,53
685,164
685,166
685,48
686,163
686,58
688,158
688,159
688,60
690,156
690,52
691,154
693,149
693,153
69,343
69,345
69,348
69,350
69,351
693,58
693,63
693,65
693,67
69,432
69,447
695,146
695,149
695,63
695,67
697,139
697,141
697,143
697,144
697,146
698,138
698,141
70,340
70,444
70,456
72,338
72,340
72,427
72,437
72,442
72,457
74,333
74,335
74,432
74,457
75,328
75,331
75,424
75,431
75,454
77,328
77,429
79,324
79,425
79,454
79,459
82,419
82,420
82,454
833,415
833,419
835,410
835,414
835,425
835,429
836,424
836,434
836,436
838,405
838,419
838,422
838,425
840,346
840,399
840,415
840,432
840,441
840,442
841,336
841,338
841,340
841,346
841,348
841,350
841,351
841,397
841,407
841,439
841,446
84,319
843,333
843,335
843,336
843,351
843,353
843,355
843,392
843,441
843,446
84,457
845,331
845,335
845,356
845,360
845,400
846,324
846,328
846,331
846,447
846,449
848,360
848,365
848,449
850,319
850,324
850,328
850,454
851,363
851,390
851,454
853,319
853,323
853,370
853,456
85,415
85,419
855,368
855,456
856,314
856,316
856,373
856,387
856,456
856,459
858,318
858,375
860,372
860,461
863,314
863,380
863,461
865,375
865,462
867,313
867,377
868,318
868,461
870,313
870,380
870,461
872,373
87,318
87,319
873,311
873,464
87,456
875,313
875,462
877,375
877,378
880,311
880,380
882,375
882,461
883,311
883,375
883,464
885,313
885,378
885,461
887,311
887,462
890,377
890,462
892,313
892,464
893,372
893,378
893,380
893,461
89,414
89,459
895,311
895,313
897,383
899,314
899,378
899,387
899,457
899,464
900,380
900,456
902,373
902,375
90,314
904,318
904,370
904,388
904,454
90,457
905,316
905,383
905,385
905,454
905,461
907,318
907,319
907,367
907,451
909,365
909,392
909,393
910,324
912,319
912,355
912,392
912,447
912,451
914,326
914,328
914,363
914,365
914,392
914,393
914,405
914,454
915,329
915,333
915,340
915,346
915,355
915,358
915,360
915,399
915,442
917,331
917,335
917,343
917,350
917,353
917,400
917,442
917,446
919,340
919,343
919,345
919,400
919,409
919,449
920,404
920,407
920,414
920,436
922,409
922,414
922,422
922,425
922,434
922,437
922,441
92,318
92,414
924,412
924,415
924,419
924,429
925,420
925,425
925,441
927,424
927,434
94,414
94,415
94,459
95,314
95,456
97,410
97,461
99,313
